"reference","isDeprecatedLicenseId","detailsUrl","referenceNumber","name","licenseId","seeAlso","isOsiApproved","isFsfLibre"
"https://spdx.org/licenses/0BSD.html",FALSE,"https://spdx.org/licenses/0BSD.json",393,"BSD Zero Clause License","0BSD","http://landley.net/toybox/license.html",TRUE,NA
"https://spdx.org/licenses/AAL.html",FALSE,"https://spdx.org/licenses/AAL.json",392,"Attribution Assurance License","AAL","https://opensource.org/licenses/attribution",TRUE,NA
"https://spdx.org/licenses/Abstyles.html",FALSE,"https://spdx.org/licenses/Abstyles.json",450,"Abstyles License","Abstyles","https://fedoraproject.org/wiki/Licensing/Abstyles",FALSE,NA
"https://spdx.org/licenses/AdaCore-doc.html",FALSE,"https://spdx.org/licenses/AdaCore-doc.json",192,"AdaCore Doc License","AdaCore-doc","https://github.com/AdaCore/xmlada/blob/master/docs/index.rst",FALSE,NA
"https://spdx.org/licenses/Adobe-2006.html",FALSE,"https://spdx.org/licenses/Adobe-2006.json",123,"Adobe Systems Incorporated Source Code License Agreement","Adobe-2006","https://fedoraproject.org/wiki/Licensing/AdobeLicense",FALSE,NA
"https://spdx.org/licenses/Adobe-Glyph.html",FALSE,"https://spdx.org/licenses/Adobe-Glyph.json",155,"Adobe Glyph List License","Adobe-Glyph","https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph",FALSE,NA
"https://spdx.org/licenses/Adobe-Utopia.html",FALSE,"https://spdx.org/licenses/Adobe-Utopia.json",49,"Adobe Utopia Font License","Adobe-Utopia","https://gitlab.freedesktop.org/xorg/font/adobe-utopia-100dpi/-/blob/master/COPYING?ref_type=heads",FALSE,NA
"https://spdx.org/licenses/ADSL.html",FALSE,"https://spdx.org/licenses/ADSL.json",198,"Amazon Digital Services License","ADSL","https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense",FALSE,NA
"https://spdx.org/licenses/AFL-1.1.html",FALSE,"https://spdx.org/licenses/AFL-1.1.json",58,"Academic Free License v1.1","AFL-1.1","http://opensource.linux-mirror.org/licenses/afl-1.1.txt",TRUE,TRUE
"https://spdx.org/licenses/AFL-1.2.html",FALSE,"https://spdx.org/licenses/AFL-1.2.json",293,"Academic Free License v1.2","AFL-1.2","http://opensource.linux-mirror.org/licenses/afl-1.2.txt",TRUE,TRUE
"https://spdx.org/licenses/AFL-2.0.html",FALSE,"https://spdx.org/licenses/AFL-2.0.json",145,"Academic Free License v2.0","AFL-2.0","http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt",TRUE,TRUE
"https://spdx.org/licenses/AFL-2.1.html",FALSE,"https://spdx.org/licenses/AFL-2.1.json",218,"Academic Free License v2.1","AFL-2.1","http://opensource.linux-mirror.org/licenses/afl-2.1.txt",TRUE,TRUE
"https://spdx.org/licenses/AFL-3.0.html",FALSE,"https://spdx.org/licenses/AFL-3.0.json",158,"Academic Free License v3.0","AFL-3.0","http://www.rosenlaw.com/AFL3.0.htm",TRUE,TRUE
"https://spdx.org/licenses/Afmparse.html",FALSE,"https://spdx.org/licenses/Afmparse.json",337,"Afmparse License","Afmparse","https://fedoraproject.org/wiki/Licensing/Afmparse",FALSE,NA
"https://spdx.org/licenses/AGPL-1.0.html",TRUE,"https://spdx.org/licenses/AGPL-1.0.json",394,"Affero General Public License v1.0","AGPL-1.0","http://www.affero.org/oagpl.html",FALSE,TRUE
"https://spdx.org/licenses/AGPL-1.0-only.html",FALSE,"https://spdx.org/licenses/AGPL-1.0-only.json",384,"Affero General Public License v1.0 only","AGPL-1.0-only","http://www.affero.org/oagpl.html",FALSE,NA
"https://spdx.org/licenses/AGPL-1.0-or-later.html",FALSE,"https://spdx.org/licenses/AGPL-1.0-or-later.json",17,"Affero General Public License v1.0 or later","AGPL-1.0-or-later","http://www.affero.org/oagpl.html",FALSE,NA
"https://spdx.org/licenses/AGPL-3.0.html",TRUE,"https://spdx.org/licenses/AGPL-3.0.json",409,"GNU Affero General Public License v3.0","AGPL-3.0","https://www.gnu.org/licenses/agpl.txt",TRUE,TRUE
"https://spdx.org/licenses/AGPL-3.0-only.html",FALSE,"https://spdx.org/licenses/AGPL-3.0-only.json",137,"GNU Affero General Public License v3.0 only","AGPL-3.0-only","https://www.gnu.org/licenses/agpl.txt",TRUE,TRUE
"https://spdx.org/licenses/AGPL-3.0-or-later.html",FALSE,"https://spdx.org/licenses/AGPL-3.0-or-later.json",138,"GNU Affero General Public License v3.0 or later","AGPL-3.0-or-later","https://www.gnu.org/licenses/agpl.txt",TRUE,TRUE
"https://spdx.org/licenses/Aladdin.html",FALSE,"https://spdx.org/licenses/Aladdin.json",377,"Aladdin Free Public License","Aladdin","http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm",FALSE,FALSE
"https://spdx.org/licenses/AMDPLPA.html",FALSE,"https://spdx.org/licenses/AMDPLPA.json",349,"AMD's plpa_map.c License","AMDPLPA","https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License",FALSE,NA
"https://spdx.org/licenses/AML.html",FALSE,"https://spdx.org/licenses/AML.json",191,"Apple MIT License","AML","https://fedoraproject.org/wiki/Licensing/Apple_MIT_License",FALSE,NA
"https://spdx.org/licenses/AMPAS.html",FALSE,"https://spdx.org/licenses/AMPAS.json",558,"Academy of Motion Picture Arts and Sciences BSD","AMPAS","https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD",FALSE,NA
"https://spdx.org/licenses/ANTLR-PD.html",FALSE,"https://spdx.org/licenses/ANTLR-PD.json",134,"ANTLR Software Rights Notice","ANTLR-PD","http://www.antlr2.org/license.html",FALSE,NA
"https://spdx.org/licenses/ANTLR-PD-fallback.html",FALSE,"https://spdx.org/licenses/ANTLR-PD-fallback.json",14,"ANTLR Software Rights Notice with license fallback","ANTLR-PD-fallback","http://www.antlr2.org/license.html",FALSE,NA
"https://spdx.org/licenses/Apache-1.0.html",FALSE,"https://spdx.org/licenses/Apache-1.0.json",43,"Apache License 1.0","Apache-1.0","http://www.apache.org/licenses/LICENSE-1.0",FALSE,TRUE
"https://spdx.org/licenses/Apache-1.1.html",FALSE,"https://spdx.org/licenses/Apache-1.1.json",418,"Apache License 1.1","Apache-1.1","http://apache.org/licenses/LICENSE-1.1",TRUE,TRUE
"https://spdx.org/licenses/Apache-2.0.html",FALSE,"https://spdx.org/licenses/Apache-2.0.json",177,"Apache License 2.0","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",TRUE,TRUE
"https://spdx.org/licenses/APAFML.html",FALSE,"https://spdx.org/licenses/APAFML.json",284,"Adobe Postscript AFM License","APAFML","https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM",FALSE,NA
"https://spdx.org/licenses/APL-1.0.html",FALSE,"https://spdx.org/licenses/APL-1.0.json",299,"Adaptive Public License 1.0","APL-1.0","https://opensource.org/licenses/APL-1.0",TRUE,NA
"https://spdx.org/licenses/App-s2p.html",FALSE,"https://spdx.org/licenses/App-s2p.json",140,"App::s2p License","App-s2p","https://fedoraproject.org/wiki/Licensing/App-s2p",FALSE,NA
"https://spdx.org/licenses/APSL-1.0.html",FALSE,"https://spdx.org/licenses/APSL-1.0.json",29,"Apple Public Source License 1.0","APSL-1.0","https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0",TRUE,FALSE
"https://spdx.org/licenses/APSL-1.1.html",FALSE,"https://spdx.org/licenses/APSL-1.1.json",555,"Apple Public Source License 1.1","APSL-1.1","http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE",TRUE,NA
"https://spdx.org/licenses/APSL-1.2.html",FALSE,"https://spdx.org/licenses/APSL-1.2.json",549,"Apple Public Source License 1.2","APSL-1.2","http://www.samurajdata.se/opensource/mirror/licenses/apsl.php",TRUE,NA
"https://spdx.org/licenses/APSL-2.0.html",FALSE,"https://spdx.org/licenses/APSL-2.0.json",467,"Apple Public Source License 2.0","APSL-2.0","http://www.opensource.apple.com/license/apsl/",TRUE,TRUE
"https://spdx.org/licenses/Arphic-1999.html",FALSE,"https://spdx.org/licenses/Arphic-1999.json",358,"Arphic Public License","Arphic-1999","http://ftp.gnu.org/gnu/non-gnu/chinese-fonts-truetype/LICENSE",FALSE,NA
"https://spdx.org/licenses/Artistic-1.0.html",FALSE,"https://spdx.org/licenses/Artistic-1.0.json",496,"Artistic License 1.0","Artistic-1.0","https://opensource.org/licenses/Artistic-1.0",TRUE,FALSE
"https://spdx.org/licenses/Artistic-1.0-cl8.html",FALSE,"https://spdx.org/licenses/Artistic-1.0-cl8.json",331,"Artistic License 1.0 w/clause 8","Artistic-1.0-cl8","https://opensource.org/licenses/Artistic-1.0",TRUE,NA
"https://spdx.org/licenses/Artistic-1.0-Perl.html",FALSE,"https://spdx.org/licenses/Artistic-1.0-Perl.json",224,"Artistic License 1.0 (Perl)","Artistic-1.0-Perl","http://dev.perl.org/licenses/artistic.html",TRUE,NA
"https://spdx.org/licenses/Artistic-2.0.html",FALSE,"https://spdx.org/licenses/Artistic-2.0.json",539,"Artistic License 2.0","Artistic-2.0","http://www.perlfoundation.org/artistic_license_2_0",TRUE,TRUE
"https://spdx.org/licenses/ASWF-Digital-Assets-1.0.html",FALSE,"https://spdx.org/licenses/ASWF-Digital-Assets-1.0.json",225,"ASWF Digital Assets License version 1.0","ASWF-Digital-Assets-1.0","https://github.com/AcademySoftwareFoundation/foundation/blob/main/digital_assets/aswf_digital_assets_license_v1.0.txt",FALSE,NA
"https://spdx.org/licenses/ASWF-Digital-Assets-1.1.html",FALSE,"https://spdx.org/licenses/ASWF-Digital-Assets-1.1.json",486,"ASWF Digital Assets License 1.1","ASWF-Digital-Assets-1.1","https://github.com/AcademySoftwareFoundation/foundation/blob/main/digital_assets/aswf_digital_assets_license_v1.1.txt",FALSE,NA
"https://spdx.org/licenses/Baekmuk.html",FALSE,"https://spdx.org/licenses/Baekmuk.json",208,"Baekmuk License","Baekmuk","https://fedoraproject.org/wiki/Licensing:Baekmuk?rd=Licensing/Baekmuk",FALSE,NA
"https://spdx.org/licenses/Bahyph.html",FALSE,"https://spdx.org/licenses/Bahyph.json",427,"Bahyph License","Bahyph","https://fedoraproject.org/wiki/Licensing/Bahyph",FALSE,NA
"https://spdx.org/licenses/Barr.html",FALSE,"https://spdx.org/licenses/Barr.json",267,"Barr License","Barr","https://fedoraproject.org/wiki/Licensing/Barr",FALSE,NA
"https://spdx.org/licenses/Beerware.html",FALSE,"https://spdx.org/licenses/Beerware.json",90,"Beerware License","Beerware","https://fedoraproject.org/wiki/Licensing/Beerware",FALSE,NA
"https://spdx.org/licenses/Bitstream-Charter.html",FALSE,"https://spdx.org/licenses/Bitstream-Charter.json",111,"Bitstream Charter Font License","Bitstream-Charter","https://fedoraproject.org/wiki/Licensing/Charter#License_Text",FALSE,NA
"https://spdx.org/licenses/Bitstream-Vera.html",FALSE,"https://spdx.org/licenses/Bitstream-Vera.json",173,"Bitstream Vera Font License","Bitstream-Vera","https://web.archive.org/web/20080207013128/http://www.gnome.org/fonts/",FALSE,NA
"https://spdx.org/licenses/BitTorrent-1.0.html",FALSE,"https://spdx.org/licenses/BitTorrent-1.0.json",179,"BitTorrent Open Source License v1.0","BitTorrent-1.0","http://sources.gentoo.org/cgi-bin/viewvc.cgi/gentoo-x86/licenses/BitTorrent?r1=1.1&r2=1.1.1.1&diff_format=s",FALSE,NA
"https://spdx.org/licenses/BitTorrent-1.1.html",FALSE,"https://spdx.org/licenses/BitTorrent-1.1.json",15,"BitTorrent Open Source License v1.1","BitTorrent-1.1","http://directory.fsf.org/wiki/License:BitTorrentOSL1.1",FALSE,TRUE
"https://spdx.org/licenses/blessing.html",FALSE,"https://spdx.org/licenses/blessing.json",47,"SQLite Blessing","blessing","https://www.sqlite.org/src/artifact/e33a4df7e32d742a?ln=4-9",FALSE,NA
"https://spdx.org/licenses/BlueOak-1.0.0.html",FALSE,"https://spdx.org/licenses/BlueOak-1.0.0.json",361,"Blue Oak Model License 1.0.0","BlueOak-1.0.0","https://blueoakcouncil.org/license/1.0.0",FALSE,NA
"https://spdx.org/licenses/Boehm-GC.html",FALSE,"https://spdx.org/licenses/Boehm-GC.json",332,"Boehm-Demers-Weiser GC License","Boehm-GC","https://fedoraproject.org/wiki/Licensing:MIT#Another_Minimal_variant_(found_in_libatomic_ops)",FALSE,NA
"https://spdx.org/licenses/Borceux.html",FALSE,"https://spdx.org/licenses/Borceux.json",26,"Borceux license","Borceux","https://fedoraproject.org/wiki/Licensing/Borceux",FALSE,NA
"https://spdx.org/licenses/Brian-Gladman-3-Clause.html",FALSE,"https://spdx.org/licenses/Brian-Gladman-3-Clause.json",397,"Brian Gladman 3-Clause License","Brian-Gladman-3-Clause","https://github.com/SWI-Prolog/packages-clib/blob/master/sha1/brg_endian.h",FALSE,NA
"https://spdx.org/licenses/BSD-1-Clause.html",FALSE,"https://spdx.org/licenses/BSD-1-Clause.json",359,"BSD 1-Clause License","BSD-1-Clause","https://svnweb.freebsd.org/base/head/include/ifaddrs.h?revision=326823",TRUE,NA
"https://spdx.org/licenses/BSD-2-Clause.html",FALSE,"https://spdx.org/licenses/BSD-2-Clause.json",461,"BSD 2-Clause ""Simplified"" License","BSD-2-Clause","https://opensource.org/licenses/BSD-2-Clause",TRUE,TRUE
"https://spdx.org/licenses/BSD-2-Clause-FreeBSD.html",TRUE,"https://spdx.org/licenses/BSD-2-Clause-FreeBSD.json",501,"BSD 2-Clause FreeBSD License","BSD-2-Clause-FreeBSD","http://www.freebsd.org/copyright/freebsd-license.html",FALSE,TRUE
"https://spdx.org/licenses/BSD-2-Clause-NetBSD.html",TRUE,"https://spdx.org/licenses/BSD-2-Clause-NetBSD.json",122,"BSD 2-Clause NetBSD License","BSD-2-Clause-NetBSD","http://www.netbsd.org/about/redistribution.html#default",FALSE,TRUE
"https://spdx.org/licenses/BSD-2-Clause-Patent.html",FALSE,"https://spdx.org/licenses/BSD-2-Clause-Patent.json",10,"BSD-2-Clause Plus Patent License","BSD-2-Clause-Patent","https://opensource.org/licenses/BSDplusPatent",TRUE,NA
"https://spdx.org/licenses/BSD-2-Clause-Views.html",FALSE,"https://spdx.org/licenses/BSD-2-Clause-Views.json",23,"BSD 2-Clause with views sentence","BSD-2-Clause-Views","http://www.freebsd.org/copyright/freebsd-license.html",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause.json",131,"BSD 3-Clause ""New"" or ""Revised"" License","BSD-3-Clause","https://opensource.org/licenses/BSD-3-Clause",TRUE,TRUE
"https://spdx.org/licenses/BSD-3-Clause-Attribution.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-Attribution.json",544,"BSD with attribution","BSD-3-Clause-Attribution","https://fedoraproject.org/wiki/Licensing/BSD_with_Attribution",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-Clear.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-Clear.json",460,"BSD 3-Clause Clear License","BSD-3-Clause-Clear","http://labs.metacarta.com/license-explanation.html#license",FALSE,TRUE
"https://spdx.org/licenses/BSD-3-Clause-flex.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-flex.json",445,"BSD 3-Clause Flex variant","BSD-3-Clause-flex","https://github.com/westes/flex/blob/master/COPYING",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-HP.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-HP.json",119,"Hewlett-Packard BSD variant license","BSD-3-Clause-HP","https://github.com/zdohnal/hplip/blob/master/COPYING#L939",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-LBNL.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-LBNL.json",240,"Lawrence Berkeley National Labs BSD variant license","BSD-3-Clause-LBNL","https://fedoraproject.org/wiki/Licensing/LBNLBSD",TRUE,NA
"https://spdx.org/licenses/BSD-3-Clause-Modification.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-Modification.json",363,"BSD 3-Clause Modification","BSD-3-Clause-Modification","https://fedoraproject.org/wiki/Licensing:BSD#Modification_Variant",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-No-Military-License.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-No-Military-License.json",493,"BSD 3-Clause No Military License","BSD-3-Clause-No-Military-License","https://gitlab.syncad.com/hive/dhive/-/blob/master/LICENSE",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.json",244,"BSD 3-Clause No Nuclear License","BSD-3-Clause-No-Nuclear-License","http://download.oracle.com/otn-pub/java/licenses/bsd.txt?AuthParam=1467140197_43d516ce1776bd08a58235a7785be1cc",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.json",188,"BSD 3-Clause No Nuclear License 2014","BSD-3-Clause-No-Nuclear-License-2014","https://java.net/projects/javaeetutorial/pages/BerkeleyLicense",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.json",185,"BSD 3-Clause No Nuclear Warranty","BSD-3-Clause-No-Nuclear-Warranty","https://jogamp.org/git/?p=gluegen.git;a=blob_plain;f=LICENSE.txt",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-Open-MPI.json",330,"BSD 3-Clause Open MPI variant","BSD-3-Clause-Open-MPI","https://www.open-mpi.org/community/license.php",FALSE,NA
"https://spdx.org/licenses/BSD-3-Clause-Sun.html",FALSE,"https://spdx.org/licenses/BSD-3-Clause-Sun.json",511,"BSD 3-Clause Sun Microsystems","BSD-3-Clause-Sun","https://github.com/xmlark/msv/blob/b9316e2f2270bc1606952ea4939ec87fbba157f3/xsdlib/src/main/java/com/sun/msv/datatype/regexp/InternalImpl.java",FALSE,NA
"https://spdx.org/licenses/BSD-4-Clause.html",FALSE,"https://spdx.org/licenses/BSD-4-Clause.json",594,"BSD 4-Clause ""Original"" or ""Old"" License","BSD-4-Clause","http://directory.fsf.org/wiki/License:BSD_4Clause",FALSE,TRUE
"https://spdx.org/licenses/BSD-4-Clause-Shortened.html",FALSE,"https://spdx.org/licenses/BSD-4-Clause-Shortened.json",322,"BSD 4 Clause Shortened","BSD-4-Clause-Shortened","https://metadata.ftp-master.debian.org/changelogs//main/a/arpwatch/arpwatch_2.1a15-7_copyright",FALSE,NA
"https://spdx.org/licenses/BSD-4-Clause-UC.html",FALSE,"https://spdx.org/licenses/BSD-4-Clause-UC.json",305,"BSD-4-Clause (University of California-Specific)","BSD-4-Clause-UC","http://www.freebsd.org/copyright/license.html",FALSE,NA
"https://spdx.org/licenses/BSD-4.3RENO.html",FALSE,"https://spdx.org/licenses/BSD-4.3RENO.json",553,"BSD 4.3 RENO License","BSD-4.3RENO","https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libiberty/strcasecmp.c;h=131d81c2ce7881fa48c363dc5bf5fb302c61ce0b;hb=HEAD",FALSE,NA
"https://spdx.org/licenses/BSD-4.3TAHOE.html",FALSE,"https://spdx.org/licenses/BSD-4.3TAHOE.json",356,"BSD 4.3 TAHOE License","BSD-4.3TAHOE","https://github.com/389ds/389-ds-base/blob/main/ldap/include/sysexits-compat.h#L15",FALSE,NA
"https://spdx.org/licenses/BSD-Advertising-Acknowledgement.html",FALSE,"https://spdx.org/licenses/BSD-Advertising-Acknowledgement.json",32,"BSD Advertising Acknowledgement License","BSD-Advertising-Acknowledgement","https://github.com/python-excel/xlrd/blob/master/LICENSE#L33",FALSE,NA
"https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.html",FALSE,"https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.json",53,"BSD with Attribution and HPND disclaimer","BSD-Attribution-HPND-disclaimer","https://github.com/cyrusimap/cyrus-sasl/blob/master/COPYING",FALSE,NA
"https://spdx.org/licenses/BSD-Inferno-Nettverk.html",FALSE,"https://spdx.org/licenses/BSD-Inferno-Nettverk.json",98,"BSD-Inferno-Nettverk","BSD-Inferno-Nettverk","https://www.inet.no/dante/LICENSE",FALSE,NA
"https://spdx.org/licenses/BSD-Protection.html",FALSE,"https://spdx.org/licenses/BSD-Protection.json",276,"BSD Protection License","BSD-Protection","https://fedoraproject.org/wiki/Licensing/BSD_Protection_License",FALSE,NA
"https://spdx.org/licenses/BSD-Source-Code.html",FALSE,"https://spdx.org/licenses/BSD-Source-Code.json",278,"BSD Source Code Attribution","BSD-Source-Code","https://github.com/robbiehanson/CocoaHTTPServer/blob/master/LICENSE.txt",FALSE,NA
"https://spdx.org/licenses/BSD-Systemics.html",FALSE,"https://spdx.org/licenses/BSD-Systemics.json",19,"Systemics BSD variant license","BSD-Systemics","https://metacpan.org/release/DPARIS/Crypt-DES-2.07/source/COPYRIGHT",FALSE,NA
"https://spdx.org/licenses/BSL-1.0.html",FALSE,"https://spdx.org/licenses/BSL-1.0.json",466,"Boost Software License 1.0","BSL-1.0","http://www.boost.org/LICENSE_1_0.txt",TRUE,TRUE
"https://spdx.org/licenses/BUSL-1.1.html",FALSE,"https://spdx.org/licenses/BUSL-1.1.json",419,"Business Source License 1.1","BUSL-1.1","https://mariadb.com/bsl11/",FALSE,NA
"https://spdx.org/licenses/bzip2-1.0.5.html",TRUE,"https://spdx.org/licenses/bzip2-1.0.5.json",421,"bzip2 and libbzip2 License v1.0.5","bzip2-1.0.5","https://sourceware.org/bzip2/1.0.5/bzip2-manual-1.0.5.html",FALSE,NA
"https://spdx.org/licenses/bzip2-1.0.6.html",FALSE,"https://spdx.org/licenses/bzip2-1.0.6.json",257,"bzip2 and libbzip2 License v1.0.6","bzip2-1.0.6","https://sourceware.org/git/?p=bzip2.git;a=blob;f=LICENSE;hb=bzip2-1.0.6",FALSE,NA
"https://spdx.org/licenses/C-UDA-1.0.html",FALSE,"https://spdx.org/licenses/C-UDA-1.0.json",65,"Computational Use of Data Agreement v1.0","C-UDA-1.0","https://github.com/microsoft/Computational-Use-of-Data-Agreement/blob/master/C-UDA-1.0.md",FALSE,NA
"https://spdx.org/licenses/CAL-1.0.html",FALSE,"https://spdx.org/licenses/CAL-1.0.json",592,"Cryptographic Autonomy License 1.0","CAL-1.0","http://cryptographicautonomylicense.com/license-text.html",TRUE,NA
"https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html",FALSE,"https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.json",199,"Cryptographic Autonomy License 1.0 (Combined Work Exception)","CAL-1.0-Combined-Work-Exception","http://cryptographicautonomylicense.com/license-text.html",TRUE,NA
"https://spdx.org/licenses/Caldera.html",FALSE,"https://spdx.org/licenses/Caldera.json",303,"Caldera License","Caldera","http://www.lemis.com/grog/UNIX/ancient-source-all.pdf",FALSE,NA
"https://spdx.org/licenses/CATOSL-1.1.html",FALSE,"https://spdx.org/licenses/CATOSL-1.1.json",242,"Computer Associates Trusted Open Source License 1.1","CATOSL-1.1","https://opensource.org/licenses/CATOSL-1.1",TRUE,NA
"https://spdx.org/licenses/CC-BY-1.0.html",FALSE,"https://spdx.org/licenses/CC-BY-1.0.json",443,"Creative Commons Attribution 1.0 Generic","CC-BY-1.0","https://creativecommons.org/licenses/by/1.0/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-2.0.html",FALSE,"https://spdx.org/licenses/CC-BY-2.0.json",521,"Creative Commons Attribution 2.0 Generic","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-2.5.html",FALSE,"https://spdx.org/licenses/CC-BY-2.5.json",24,"Creative Commons Attribution 2.5 Generic","CC-BY-2.5","https://creativecommons.org/licenses/by/2.5/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-2.5-AU.html",FALSE,"https://spdx.org/licenses/CC-BY-2.5-AU.json",67,"Creative Commons Attribution 2.5 Australia","CC-BY-2.5-AU","https://creativecommons.org/licenses/by/2.5/au/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0.json",238,"Creative Commons Attribution 3.0 Unported","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0-AT.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0-AT.json",463,"Creative Commons Attribution 3.0 Austria","CC-BY-3.0-AT","https://creativecommons.org/licenses/by/3.0/at/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0-DE.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0-DE.json",357,"Creative Commons Attribution 3.0 Germany","CC-BY-3.0-DE","https://creativecommons.org/licenses/by/3.0/de/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0-IGO.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0-IGO.json",294,"Creative Commons Attribution 3.0 IGO","CC-BY-3.0-IGO","https://creativecommons.org/licenses/by/3.0/igo/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0-NL.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0-NL.json",310,"Creative Commons Attribution 3.0 Netherlands","CC-BY-3.0-NL","https://creativecommons.org/licenses/by/3.0/nl/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-3.0-US.html",FALSE,"https://spdx.org/licenses/CC-BY-3.0-US.json",83,"Creative Commons Attribution 3.0 United States","CC-BY-3.0-US","https://creativecommons.org/licenses/by/3.0/us/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-4.0.html",FALSE,"https://spdx.org/licenses/CC-BY-4.0.json",79,"Creative Commons Attribution 4.0 International","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/legalcode",FALSE,TRUE
"https://spdx.org/licenses/CC-BY-NC-1.0.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-1.0.json",51,"Creative Commons Attribution Non Commercial 1.0 Generic","CC-BY-NC-1.0","https://creativecommons.org/licenses/by-nc/1.0/legalcode",FALSE,FALSE
"https://spdx.org/licenses/CC-BY-NC-2.0.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-2.0.json",12,"Creative Commons Attribution Non Commercial 2.0 Generic","CC-BY-NC-2.0","https://creativecommons.org/licenses/by-nc/2.0/legalcode",FALSE,FALSE
"https://spdx.org/licenses/CC-BY-NC-2.5.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-2.5.json",589,"Creative Commons Attribution Non Commercial 2.5 Generic","CC-BY-NC-2.5","https://creativecommons.org/licenses/by-nc/2.5/legalcode",FALSE,FALSE
"https://spdx.org/licenses/CC-BY-NC-3.0.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-3.0.json",355,"Creative Commons Attribution Non Commercial 3.0 Unported","CC-BY-NC-3.0","https://creativecommons.org/licenses/by-nc/3.0/legalcode",FALSE,FALSE
"https://spdx.org/licenses/CC-BY-NC-3.0-DE.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-3.0-DE.json",265,"Creative Commons Attribution Non Commercial 3.0 Germany","CC-BY-NC-3.0-DE","https://creativecommons.org/licenses/by-nc/3.0/de/legalcode",FALSE,NA
"https://spdx.org/licenses/CC-BY-NC-4.0.html",FALSE,"https://spdx.org/licenses/CC-BY-NC-4.0.json",249,"Creative Commons Attribution Non Commercial 4.0 International","CC-BY-NC-4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE
